file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,2.000000,9,haco,574.000000,14261,1338
tsp/eil76.tsp,0.200000,2.000000,10,haco,572.000000,14279,670
tsp/eil76.tsp,0.200000,2.000000,11,haco,573.000000,14298,1560
tsp/eil76.tsp,0.200000,2.000000,12,haco,581.000000,14330,1418
tsp/eil76.tsp,0.200000,2.000000,13,haco,574.000000,14470,1467
tsp/eil76.tsp,0.200000,2.000000,14,haco,581.000000,14264,1237
tsp/eil76.tsp,0.200000,2.000000,15,haco,582.000000,14145,2173
tsp/eil76.tsp,0.200000,2.000000,16,haco,573.000000,14355,621
tsp/eil76.tsp,0.200000,2.000000,17,haco,576.000000,14349,1505
tsp/eil76.tsp,0.200000,2.000000,18,haco,583.000000,14389,1245
tsp/eil76.tsp,0.200000,2.000000,19,haco,568.000000,14365,456
tsp/eil76.tsp,0.200000,2.000000,20,haco,568.000000,14292,2420
tsp/eil76.tsp,0.200000,2.000000,1,aco,821.000000,19392,2809
tsp/eil76.tsp,0.200000,2.000000,2,aco,812.000000,19432,876
tsp/eil76.tsp,0.200000,2.000000,3,aco,820.000000,19461,2235
tsp/eil76.tsp,0.200000,2.000000,4,aco,803.000000,19548,1092
tsp/eil76.tsp,0.200000,2.000000,5,aco,830.000000,19381,2301
tsp/eil76.tsp,0.200000,2.000000,6,aco,821.000000,19430,2432
tsp/eil76.tsp,0.200000,2.000000,7,aco,816.000000,19526,1129
tsp/eil76.tsp,0.200000,2.000000,8,aco,826.000000,19552,1258
tsp/eil76.tsp,0.200000,2.000000,9,aco,813.000000,19484,2631
tsp/eil76.tsp,0.200000,2.000000,10,aco,795.000000,19574,690
tsp/eil76.tsp,0.200000,2.000000,11,aco,806.000000,19631,582
tsp/eil76.tsp,0.200000,2.000000,12,aco,843.000000,19517,705
tsp/eil76.tsp,0.200000,2.000000,13,aco,774.000000,19547,1851
tsp/eil76.tsp,0.200000,2.000000,14,aco,833.000000,19591,2794
tsp/eil76.tsp,0.200000,2.000000,15,aco,806.000000,19611,1076
tsp/eil76.tsp,0.200000,2.000000,16,aco,808.000000,19440,951
tsp/eil76.tsp,0.200000,2.000000,17,aco,833.000000,19515,809
tsp/eil76.tsp,0.200000,2.000000,18,aco,841.000000,19506,1744
tsp/eil76.tsp,0.200000,2.000000,19,aco,826.000000,19604,806
tsp/eil76.tsp,0.200000,2.000000,20,aco,829.000000,19643,2061
tsp/eil76.tsp,0.200000,2.500000,1,haco,575.000000,14337,2327
tsp/eil76.tsp,0.200000,2.500000,2,haco,575.000000,14436,2675
tsp/eil76.tsp,0.200000,2.500000,3,haco,564.000000,14597,374
tsp/eil76.tsp,0.200000,2.500000,4,haco,575.000000,14478,1747
tsp/eil76.tsp,0.200000,2.500000,5,haco,570.000000,14405,1978
tsp/eil76.tsp,0.200000,2.500000,6,haco,581.000000,14368,902
tsp/eil76.tsp,0.200000,2.500000,7,haco,575.000000,14383,2712
tsp/eil76.tsp,0.200000,2.500000,8,haco,574.000000,14500,2658
tsp/eil76.tsp,0.200000,2.500000,9,haco,568.000000,14462,2233
tsp/eil76.tsp,0.200000,2.500000,10,haco,575.000000,14418,1514
tsp/eil76.tsp,0.200000,2.500000,11,haco,574.000000,14387,1210
tsp/eil76.tsp,0.200000,2.500000,12,haco,569.000000,14435,631
tsp/eil76.tsp,0.200000,2.500000,13,haco,565.000000,14452,2303
tsp/eil76.tsp,0.200000,2.500000,14,haco,577.000000,14526,2414
tsp/eil76.tsp,0.200000,2.500000,15,haco,580.000000,14453,2547
tsp/eil76.tsp,0.200000,2.500000,16,haco,575.000000,14419,2112
tsp/eil76.tsp,0.200000,2.500000,17,haco,576.000000,14498,636
tsp/eil76.tsp,0.200000,2.500000,18,haco,573.000000,14476,2579
tsp/eil76.tsp,0.200000,2.500000,19,haco,567.000000,14454,1841
tsp/eil76.tsp,0.200000,2.500000,20,haco,569.000000,14492,832
tsp/eil76.tsp,0.200000,2.500000,1,aco,716.000000,22901,1035
tsp/eil76.tsp,0.200000,2.500000,2,aco,722.000000,23213,480
tsp/eil76.tsp,0.200000,2.500000,3,aco,720.000000,23659,2797
tsp/eil76.tsp,0.200000,2.500000,4,aco,719.000000,23489,1396
tsp/eil76.tsp,0.200000,2.500000,5,aco,743.000000,23332,1545
tsp/eil76.tsp,0.200000,2.500000,6,aco,706.000000,24617,443
tsp/eil76.tsp,0.200000,2.500000,7,aco,725.000000,24942,2584
tsp/eil76.tsp,0.200000,2.500000,8,aco,730.000000,23610,668
tsp/eil76.tsp,0.200000,2.500000,9,aco,722.000000,23422,1078
tsp/eil76.tsp,0.200000,2.500000,10,aco,727.000000,23580,686
tsp/eil76.tsp,0.200000,2.500000,11,aco,729.000000,23704,2499
tsp/eil76.tsp,0.200000,2.500000,12,aco,694.000000,23721,1879
tsp/eil76.tsp,0.200000,2.500000,13,aco,723.000000,23581,2055
tsp/eil76.tsp,0.200000,2.500000,14,aco,728.000000,23129,2691
tsp/eil76.tsp,0.200000,2.500000,15,aco,734.000000,22916,2188
tsp/eil76.tsp,0.200000,2.500000,16,aco,716.000000,23325,1309
